time,open,high,low,close,Volume
1757351160,648.1,648.26,648.1,648.24,3874
1757351220,648.25,648.26,647.99,647.999,8444
1757351280,648.01,648.13,648.01,648.06,9267
1757351340,648.05,648.12,648.02,648.08,8621
1757351400,648.06,648.17,648.04,648.12,8623
1757351460,648.1,648.26,648.07,648.07,13479
1757351520,648.08,648.241,648.08,648.15,7050
1757351580,648.145,648.23,648.09,648.2,10575
1757351640,648.21,648.22,648.04,648.05,6504
1757351700,648.05,648.13,648.01,648.11,9817
1757351760,648.12,648.23,648.08,648.185,8528
1757351820,648.18,648.35,648.07,648.28,9437
1757351880,648.27,648.39,648.25,648.35,6461
1757351940,648.36,648.47,648.35,648.47,8428
1757352000,648.465,648.52,648.41,648.49,13603
1757352060,648.5,648.55,648.45,648.48,8385
1757352120,648.47,648.55,648.39,648.54,7124
1757352180,648.53,648.69,648.53,648.67,10171
1757352240,648.66,648.7,648.65,648.68,5601
1757352300,648.679,648.76,648.57,648.57,8866
1757352360,648.57,648.57,648.37,648.4,11967
1757352420,648.42,648.5,648.39,648.47,6395
1757352480,648.48,648.63,648.48,648.56,9203
1757352540,648.56,648.57,648.42,648.495,7224
1757352600,648.5,648.65,648.5,648.58,6979
1757352660,648.59,648.62,648.49,648.53,11706
1757352720,648.545,648.65,648.54,648.625,7674
1757352780,648.63,648.68,648.53,648.57,5469
1757352840,648.58,648.59,648.469,648.5,3038
1757352900,648.49,648.555,648.405,648.45,11753
1757352960,648.44,648.5,648.37,648.42,9453
1757353020,648.415,648.43,648.28,648.33,8998
1757353080,648.35,648.41,648.28,648.29,4352
1757353140,648.32,648.33,648.25,648.29,5933
1757353200,648.29,648.29,648.15,648.22,12032
1757353260,648.22,648.23,648.08,648.11,7141
1757353320,648.12,648.26,648.12,648.18,7015
1757353380,648.16,648.24,648.16,648.19,10770
1757353440,648.19,648.25,648.15,648.23,9393
1757353500,648.225,648.28,648.18,648.25,6941
1757353560,648.25,648.25,648.07,648.1,9284
1757353620,648.08,648.19,648.08,648.1,7051
1757353680,648.11,648.125,647.94,647.96,7904
1757353740,647.96,647.96,647.81,647.85,9729
1757353800,647.85,647.95,647.84,647.92,9247
1757353860,647.92,647.92,647.63,647.67,13552
1757353920,647.68,647.7,647.23,647.38,30217
1757353980,647.37,647.63,647.37,647.59,12595
1757354040,647.555,647.715,647.52,647.71,5879
1757354100,647.69,647.75,647.6,647.65,10554
1757354160,647.65,647.65,647.48,647.54,11305
1757354220,647.53,647.56,647.43,647.46,9204
1757354280,647.46,647.6,647.46,647.51,10264
1757354340,647.52,647.6,647.475,647.589,3001
1757354400,647.59,647.64,647.54,647.54,7265
1757354460,647.55,647.57,647.44,647.49,6119
1757354520,647.51,647.51,647.39,647.41,10007
1757354580,647.42,647.55,647.395,647.52,10940
1757354640,647.52,647.55,647.39,647.46,7026
1757354700,647.47,647.61,647.36,647.6,8053
1757354760,647.6,647.73,647.59,647.7,22761
1757354820,647.69,647.7,647.629,647.629,26561
1757354880,647.62,647.64,647.45,647.48,16180
1757354940,647.5,647.61,647.5,647.59,9113
1757355000,647.58,647.88,647.56,647.88,23076
1757355060,647.89,647.92,647.8,647.86,13258
1757355120,647.85,647.92,647.81,647.81,11637
1757355180,647.81,647.99,647.8,647.98,14753
1757355240,647.96,648,647.91,647.95,10452
1757355300,647.95,648.1,647.93,648.085,51699
1757355360,648.08,648.31,648.05,648.18,58855
1757355420,648.17,648.26,648.13,648.26,9674
1757355480,648.265,648.27,648.17,648.25,8644
1757355540,648.24,648.31,648.2,648.27,10611
1757355600,648.26,648.31,648.25,648.3,8593
1757355660,648.29,648.41,648.29,648.39,24103
1757355720,648.39,648.51,648.36,648.481,31229
1757355780,648.49,648.49,648.09,648.11,21234
1757355840,648.13,648.23,648.07,648.21,11093
1757355900,648.23,648.23,648.08,648.16,9062
1757355960,648.17,648.19,648.1,648.14,8120
1757356020,648.151,648.29,648.151,648.25,5102
1757356080,648.24,648.29,648.22,648.26,5992
1757356140,648.26,648.41,648.26,648.39,8507
1757356200,648.39,648.49,648.34,648.35,10554
1757356260,648.35,648.35,648.26,648.33,6257
1757356320,648.3,648.34,648.29,648.34,3299
1757356380,648.34,648.42,648.33,648.39,11561
1757356440,648.39,648.41,648.34,648.35,6622
1757356500,648.345,648.43,648.31,648.41,17603
1757356560,648.41,648.43,648.35,648.4,10982
1757356620,648.38,648.43,648.37,648.4,9128
1757356680,648.41,648.41,648.22,648.24,12248
