datetime,high,low,close,Volume
2025-09-08 11:05:00,649.59,649.46,649.54,17387
2025-09-08 11:06:00,649.64,649.51,649.61,22960
2025-09-08 11:07:00,649.63,649.475,649.57,23845
2025-09-08 11:08:00,649.63,649.48,649.63,18979
2025-09-08 11:09:00,649.62,649.51,649.58,16851
2025-09-08 11:10:00,649.72,649.58,649.72,21743
2025-09-08 11:11:00,649.81,649.71,649.73,25040
2025-09-08 11:12:00,649.75,649.65,649.7,12382
2025-09-08 11:13:00,649.77,649.69,649.71,19367
2025-09-08 11:14:00,649.79,649.66,649.66,8382
2025-09-08 11:15:00,649.69,649.47,649.47,20079
2025-09-08 11:16:00,649.56,649.4,649.53,26974
2025-09-08 11:17:00,649.58,649.4,649.41,17238
2025-09-08 11:18:00,649.45,649.17,649.2,20038
2025-09-08 11:19:00,649.31,649.14,649.21,21474
2025-09-08 11:20:00,649.26,649.15,649.23,15892
2025-09-08 11:21:00,649.3,649.15,649.2,16934
2025-09-08 11:22:00,649.39,649.2,649.34,14632
2025-09-08 11:23:00,649.4,649.24,649.38,11536
2025-09-08 11:24:00,649.46,649.335,649.38,12504
2025-09-08 11:25:00,649.52,649.349,649.47,16953
2025-09-08 11:26:00,649.56,649.41,649.5,17960
2025-09-08 11:27:00,649.55,649.38,649.55,10358
2025-09-08 11:28:00,649.65,649.495,649.63,12108
2025-09-08 11:29:00,649.82,649.62,649.79,16676
2025-09-08 11:30:00,649.83,649.68,649.77,18035
2025-09-08 11:31:00,649.8,649.73,649.77,15161
2025-09-08 11:32:00,649.805,649.66,649.73,16781
2025-09-08 11:33:00,649.84,649.62,649.65,24725
2025-09-08 11:34:00,649.66,649.44,649.49,20181
2025-09-08 11:35:00,649.58,649.47,649.5,16228
2025-09-08 11:36:00,649.53,649.26,649.33,18271
2025-09-08 11:37:00,649.39,649.23,649.24,19647
2025-09-08 11:38:00,649.4,649.22,649.39,24529
2025-09-08 11:39:00,649.43,649.3,649.33,17147
2025-09-08 11:40:00,649.33,649.16,649.27,24446
2025-09-08 11:41:00,649.35,649.24,649.25,11000
2025-09-08 11:42:00,649.27,649.17,649.2,13671
2025-09-08 11:43:00,649.34,649.19,649.279,12666
2025-09-08 11:44:00,649.29,649.17,649.17,12496
2025-09-08 11:45:00,649.215,648.94,648.98,26014
2025-09-08 11:46:00,649.05,648.601,648.66,27322
2025-09-08 11:47:00,648.88,648.59,648.619,20346
2025-09-08 11:48:00,648.79,648.5,648.73,19006
2025-09-08 11:49:00,648.9,648.69,648.87,19553
2025-09-08 11:50:00,648.96,648.7,648.96,28923
2025-09-08 11:51:00,649.12,648.88,649.09,15013
2025-09-08 11:52:00,649.105,648.97,648.99,14103
2025-09-08 11:53:00,649.18,648.97,649.13,16748
2025-09-08 11:54:00,649.23,649.13,649.19,18075
2025-09-08 11:55:00,649.36,649.17,649.28,16620
2025-09-08 11:56:00,649.36,649.18,649.35,17608
2025-09-08 11:57:00,649.39,649.3,649.35,9650
2025-09-08 11:58:00,649.4,649.29,649.4,14564
2025-09-08 11:59:00,649.46,649.33,649.38,19065
2025-09-08 12:00:00,649.41,649.155,649.18,22202
2025-09-08 12:01:00,649.23,648.95,649.03,19195
2025-09-08 12:02:00,649.19,649.02,649.14,10143
2025-09-08 12:03:00,649.28,649.12,649.19,7830
2025-09-08 12:04:00,649.25,649.08,649.12,11451
2025-09-08 12:05:00,649.18,648.95,648.95,14344
2025-09-08 12:06:00,649.01,648.76,648.8,15620
2025-09-08 12:07:00,648.99,648.82,648.84,8548
2025-09-08 12:08:00,648.915,648.74,648.74,7418
2025-09-08 12:09:00,648.81,648.7,648.76,10727
2025-09-08 12:10:00,648.91,648.73,648.82,20836
2025-09-08 12:11:00,648.94,648.78,648.91,15820
2025-09-08 12:12:00,648.98,648.78,648.89,15869
2025-09-08 12:13:00,648.92,648.835,648.88,16688
2025-09-08 12:14:00,648.9,648.75,648.77,11973
2025-09-08 12:15:00,648.8,648.7,648.72,17781
2025-09-08 12:16:00,648.77,648.57,648.63,27170
2025-09-08 12:17:00,648.71,648.42,648.68,19476
2025-09-08 12:18:00,648.7,648.54,648.55,15211
2025-09-08 12:19:00,648.63,648.51,648.57,13687
2025-09-08 12:20:00,648.66,648.48,648.63,12309
2025-09-08 12:21:00,648.68,648.52,648.54,12871
2025-09-08 12:22:00,648.59,648.459,648.5,15349
2025-09-08 12:23:00,648.55,648.45,648.49,16585
2025-09-08 12:24:00,648.54,648.38,648.5,25674
2025-09-08 12:25:00,648.65,648.45,648.59,21047
2025-09-08 12:26:00,648.62,648.51,648.56,10987
2025-09-08 12:27:00,648.56,648.4,648.41,8778
2025-09-08 12:28:00,648.64,648.42,648.59,13259
2025-09-08 12:29:00,648.65,648.59,648.64,10612
2025-09-08 12:30:00,648.8,648.62,648.71,13013
2025-09-08 12:31:00,648.71,648.44,648.48,13752
2025-09-08 12:32:00,648.5,648.25,648.27,27461
2025-09-08 12:33:00,648.28,648.15,648.18,9241
2025-09-08 12:34:00,648.37,648.19,648.26,10513
2025-09-08 12:35:00,648.31,648.17,648.17,6664
2025-09-08 12:36:00,648.21,648.059,648.07,9411
2025-09-08 12:37:00,648.09,647.78,647.92,28527
2025-09-08 12:38:00,648.15,647.91,648.14,13168
2025-09-08 12:39:00,648.19,648.05,648.16,11025
2025-09-08 12:40:00,648.19,648.07,648.16,11614
2025-09-08 12:41:00,648.37,648.05,648.33,27956
2025-09-08 12:42:00,648.43,648.24,648.37,14679
2025-09-08 12:43:00,648.56,648.35,648.48,13683
2025-09-08 12:44:00,648.51,648.36,648.36,9667
2025-09-08 12:45:00,648.35,648.07,648.11,14185
2025-09-08 12:46:00,648.17,647.96,648.03,5601
2025-09-08 12:47:00,648.06,647.98,648.0,4253
2025-09-08 12:48:00,648.17,647.99,648.1,8391
2025-09-08 12:49:00,648.15,648.05,648.12,10935
2025-09-08 12:50:00,648.37,648.125,648.37,15005
2025-09-08 12:51:00,648.41,648.33,648.38,8198
2025-09-08 12:52:00,648.41,648.3,648.33,5375
2025-09-08 12:53:00,648.48,648.34,648.47,4737
2025-09-08 12:54:00,648.63,648.43,648.62,9810
2025-09-08 12:55:00,648.69,648.55,648.58,6400
2025-09-08 12:56:00,648.61,648.45,648.45,7215
2025-09-08 12:57:00,648.57,648.45,648.505,6599
2025-09-08 12:58:00,648.53,648.35,648.35,7462
2025-09-08 12:59:00,648.56,648.31,648.56,8273
2025-09-08 13:00:00,648.59,648.4,648.58,7531
2025-09-08 13:01:00,648.6,648.395,648.41,14918
2025-09-08 13:02:00,648.48,648.33,648.33,5025
2025-09-08 13:03:00,648.38,648.21,648.295,9995
2025-09-08 13:04:00,648.33,648.16,648.19,6623
2025-09-08 13:05:00,648.28,648.069,648.09,7511
2025-09-08 13:06:00,648.26,648.1,648.24,3874
2025-09-08 13:07:00,648.26,647.99,647.999,8444
2025-09-08 13:08:00,648.13,648.01,648.06,9267
2025-09-08 13:09:00,648.12,648.02,648.08,8621
2025-09-08 13:10:00,648.17,648.04,648.12,8623
2025-09-08 13:11:00,648.26,648.07,648.07,13479
2025-09-08 13:12:00,648.241,648.08,648.15,7050
2025-09-08 13:13:00,648.23,648.09,648.2,10575
2025-09-08 13:14:00,648.22,648.04,648.05,6504
2025-09-08 13:15:00,648.13,648.01,648.11,9817
2025-09-08 13:16:00,648.23,648.08,648.185,8528
2025-09-08 13:17:00,648.35,648.07,648.28,9437
2025-09-08 13:18:00,648.39,648.25,648.35,6461
2025-09-08 13:19:00,648.47,648.35,648.47,8428
2025-09-08 13:20:00,648.52,648.41,648.49,13603
2025-09-08 13:21:00,648.55,648.45,648.48,8385
2025-09-08 13:22:00,648.55,648.39,648.54,7124
2025-09-08 13:23:00,648.69,648.53,648.67,10171
2025-09-08 13:24:00,648.7,648.65,648.68,5601
2025-09-08 13:25:00,648.76,648.57,648.57,8866
2025-09-08 13:26:00,648.57,648.37,648.4,11967
2025-09-08 13:27:00,648.5,648.39,648.47,6395
2025-09-08 13:28:00,648.63,648.48,648.56,9203
2025-09-08 13:29:00,648.57,648.42,648.495,7224
2025-09-08 13:30:00,648.65,648.5,648.58,6979
2025-09-08 13:31:00,648.62,648.49,648.53,11706
2025-09-08 13:32:00,648.65,648.54,648.625,7674
2025-09-08 13:33:00,648.68,648.53,648.57,5469
2025-09-08 13:34:00,648.59,648.469,648.5,3038
2025-09-08 13:35:00,648.555,648.405,648.45,11753
2025-09-08 13:36:00,648.5,648.37,648.42,9453
2025-09-08 13:37:00,648.43,648.28,648.33,8998
2025-09-08 13:38:00,648.41,648.28,648.29,4352
2025-09-08 13:39:00,648.33,648.25,648.29,5933
2025-09-08 13:40:00,648.29,648.15,648.22,12032
2025-09-08 13:41:00,648.23,648.08,648.11,7141
2025-09-08 13:42:00,648.26,648.12,648.18,7015
2025-09-08 13:43:00,648.24,648.16,648.19,10770
2025-09-08 13:44:00,648.25,648.15,648.23,9393
2025-09-08 13:45:00,648.28,648.18,648.25,6941
2025-09-08 13:46:00,648.25,648.07,648.1,9284
2025-09-08 13:47:00,648.19,648.08,648.1,7051
2025-09-08 13:48:00,648.125,647.94,647.96,7904
2025-09-08 13:49:00,647.96,647.81,647.85,9729
2025-09-08 13:50:00,647.95,647.84,647.92,9247
2025-09-08 13:51:00,647.92,647.63,647.67,13552
2025-09-08 13:52:00,647.7,647.23,647.38,30217
2025-09-08 13:53:00,647.63,647.37,647.59,12595
2025-09-08 13:54:00,647.715,647.52,647.71,5879
2025-09-08 13:55:00,647.75,647.6,647.65,10554
2025-09-08 13:56:00,647.65,647.48,647.54,11305
2025-09-08 13:57:00,647.56,647.43,647.46,9204
2025-09-08 13:58:00,647.6,647.46,647.51,10264
2025-09-08 13:59:00,647.6,647.475,647.589,3001
2025-09-08 14:00:00,647.64,647.54,647.54,7265
2025-09-08 14:01:00,647.57,647.44,647.49,6119
2025-09-08 14:02:00,647.51,647.39,647.41,10007
2025-09-08 14:03:00,647.55,647.395,647.52,10940
2025-09-08 14:04:00,647.55,647.39,647.46,7026
2025-09-08 14:05:00,647.61,647.36,647.6,8053
2025-09-08 14:06:00,647.73,647.59,647.7,22761
2025-09-08 14:07:00,647.7,647.629,647.629,26561
