datetime,high,low,close,Volume,hl_pct,hl5,hl15,trend_score_m30,ib_high,ib_low,ib_mid,ib_width,ib_width_type,day_close,prev_day,prev_close,gap,gap_dir,avwap_open,avwap_down,avwap_up,slope_open,slope_up,slope_down,is_ib,is_analysis,is_labelwin,state_ud_above,state_ud_below,state_ud_between,delta_ud,delta_ud_pct,state_ou_above,state_ou_below,state_ou_between,delta_ou,delta_ou_pct,state_od_above,state_od_below,state_od_between,delta_od,delta_od_pct,slope_open_sign,cross_px_open,cross_px_open_last5,slope_up_sign,cross_px_up,cross_px_up_last5,slope_down_sign,cross_px_down,cross_px_down_last5,cross_av_ud,cross_av_ud_last5,cross_av_ou,cross_av_ou_last5,cross_av_od,cross_av_od_last5,close_f15,close_f30,ret15,ret30,dir15,dir30,is_H2,pred_H2_dir15,pred_H2_dir30,is_H3,pred_H3_dir15,pred_H3_dir30,is_H3_strict
2025-09-08 09:30:00,648.86,648.24,648.26,141588,0.0009564063801561,,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4533333333333,,,,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.42,648.24,0.0002468145497176,-3.085181871465004e-05,1,0,0,,,0,,,0
2025-09-08 09:31:00,648.45,648.15,648.27,42118,0.0004627701420705,,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.415886144165,,,,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.28,647.97,1.542567140222495e-05,-0.0004627701420704,1,0,0,,,0,,,0
2025-09-08 09:32:00,648.46,648.1,648.26,37143,0.0005553327368648,,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.3919112153552,,,,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.11,648.27,-0.0002313886403603,1.542590935743604e-05,0,1,0,,,0,,,0
2025-09-08 09:33:00,648.47,648.23,648.4,42231,0.0003701418877236,,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.3878588262124,,,,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648.57,648.24,0.0002621838371377,-0.0002467612584823,1,0,0,,,0,,,0
2025-09-08 09:34:00,648.68,648.32,648.665,23659,0.0005549860097275,0.0005799274313085,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4016497407049,,,,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.66,648.29,-7.708139023954175e-06,-0.0005781104267996,0,0,0,,,0,,,0
2025-09-08 09:35:00,648.88,648.62,648.78,38252,0.0004007521810166,0.0004687965914806,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4438281829342,,,-0.0019010300798072,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.27,648.28,-0.0007860908166096,-0.0007706772711859,0,0,0,,,0,,,0
2025-09-08 09:36:00,648.92,648.78,648.79,36436,0.0002157863098999,0.0004193998250465,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4827587451961,,,0.0133745202062073,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.5,648.48,-0.0004469859276499,-0.0004778125433498,0,0,0,,,0,,,0
2025-09-08 09:37:00,649.06,648.8,648.87,35151,0.00040069659562,0.0003884725967975,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.520627606675,,,0.0257432782639625,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.51,648.57,-0.0005548106708586,-0.0004623422257153,0,0,0,,,0,,,0
2025-09-08 09:38:00,648.91,648.23,648.23,52975,0.0010490103821173,0.0005242462956763,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.5130904958185,,,0.0250463339212046,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648.37,648.62,0.00021597272573,0.0006016383073907,1,1,0,,,0,,,0
2025-09-08 09:39:00,648.35,648.06,648.11,58512,0.000447454907346,0.0005027400752,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4739618979198,,,0.0144624314429847,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.76,648.42,0.0010029161716373,0.0004783138664732,1,1,0,,,0,,,0
2025-09-08 09:40:00,648.57,648.1,648.5,40083,0.0007247494217425,0.0005675395233452,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4678222335331,,,0.0047988101197688,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648.96,648.43,0.0007093292212798,-0.0001079414032383,1,0,0,,,0,,,0
2025-09-08 09:41:00,648.78,648.4,648.77,23133,0.0005857237541809,0.0006415270122014,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4751991956089,,,-0.0015119099174398,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.84,648.56,0.0001078964810334,-0.0003236894431001,1,0,0,,,0,,,0
2025-09-08 09:42:00,648.78,648.44,648.62,25949,0.0005241898183835,0.0006662256567541,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.481200975057,,,-0.0078853263235942,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.71,648.46,0.0001387561283956,-0.0002466775615922,1,0,0,,,0,,,0
2025-09-08 09:43:00,648.88,648.62,648.69,42499,0.0004008077818372,0.000536585136698,,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4977293953116,,,-0.0030722201013759,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.45,648.34,-0.0003699764140036,-0.0005395489370886,0,0,0,,,0,,,0
2025-09-08 09:44:00,648.76,648.52,648.64,25675,0.0003700049333991,0.0005210951419086,0.0005345875494724,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.5032189892656,,,0.0058514182691624,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.38,648.2,-0.000400838677849,-0.0006783423778983,0,0,0,,,0,,,0
2025-09-08 09:45:00,648.66,648.28,648.42,42890,0.0005860399124024,0.0004933532400406,0.0005098964516221,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.5001982157127,,,0.0064751964359174,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648.24,648.26,-0.0002775978532432,-0.0002467536473272,0,0,0,,,0,,,0
2025-09-08 09:46:00,648.52,648.23,648.28,27123,0.0004473375701856,0.0004656760032415,0.0005088676134965,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4944128637222,,,0.0038427336226732,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,647.97,648.19,-0.000478188437095,-0.0001388289010919,0,0,0,,,0,,,0
2025-09-08 09:47:00,648.32,648.05,648.11,34172,0.0004165959482188,0.0004441572292086,0.0004996184942534,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4795639555658,,,-0.0003274038982453,,,True,False,False,0,0,0,,,0,1,0,,,0,1,0,,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.27,647.979,0.0002468716730184,-0.0002021261822838,1,0,0,,,0,,,0
2025-09-08 09:48:00,648.62,648.1,648.57,46060,0.0008017638805371,0.0005243484489486,0.0005283932937743,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4767650607063,,,-0.0041928669210619,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648.24,647.89,-0.0005088116934178,-0.001048460459164,0,0,0,,,0,,,0
2025-09-08 09:49:00,648.76,648.52,648.66,27793,0.0003699935251133,0.0005243461672914,0.0005160604614667,,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0,648.4823636381241,,,-0.0041710702283126,,,True,False,False,0,0,0,,,1,0,0,,,1,0,0,,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,648.29,647.91,-0.0005704066845496,-0.001156229765979,0,0,0,,,0,,,0
