datetime,high,low,close,Volume,ib_high,ib_low,ib_mid,ib_width,ib_width_type,day_close,prev_day,prev_close,gap,gap_dir
2025-09-08 09:30:00,648.86,648.24,648.26,141588,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:31:00,648.45,648.15,648.27,42118,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:32:00,648.46,648.1,648.26,37143,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:33:00,648.47,648.23,648.4,42231,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:34:00,648.68,648.32,648.665,23659,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:35:00,648.88,648.62,648.78,38252,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:36:00,648.92,648.78,648.79,36436,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:37:00,649.06,648.8,648.87,35151,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:38:00,648.91,648.23,648.23,52975,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:39:00,648.35,648.06,648.11,58512,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:40:00,648.57,648.1,648.5,40083,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:41:00,648.78,648.4,648.77,23133,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:42:00,648.78,648.44,648.62,25949,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:43:00,648.88,648.62,648.69,42499,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:44:00,648.76,648.52,648.64,25675,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:45:00,648.66,648.28,648.42,42890,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:46:00,648.52,648.23,648.28,27123,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:47:00,648.32,648.05,648.11,34172,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:48:00,648.62,648.1,648.57,46060,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:49:00,648.76,648.52,648.66,27793,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:50:00,648.66,648.22,648.27,37213,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:51:00,648.79,648.17,648.5,56586,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:52:00,648.57,648.31,648.51,14146,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:53:00,648.57,648.3,648.37,20715,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:54:00,648.77,648.35,648.76,18507,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:55:00,648.96,648.63,648.96,28332,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:56:00,648.96,648.76,648.84,22495,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:57:00,648.86,648.6,648.71,20640,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:58:00,648.77,648.42,648.45,27781,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 09:59:00,648.48,648.33,648.38,19713,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 10:00:00,648.37,648.1,648.24,43564,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 10:01:00,648.26,647.93,647.97,24284,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 10:02:00,648.27,648.0,648.27,20208,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
2025-09-08 10:03:00,648.32,648.15,648.24,22315,649.06,647.75,648.405,1.3099999999999454,narrow,649.0,,,,0.0
